,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Inter,84,38,25,9,4,70,32,47,19,14,5,0,37,16,37,19,11,4,4,33,16
1,2,Milan,74,38,22,8,8,70,35,45,19,14,3,2,39,12,29,19,8,5,6,31,23
2,3,Juventus,74,38,21,11,6,69,37,39,19,11,6,2,38,19,35,19,10,5,4,31,18
3,4,Fiorentina,68,38,21,5,12,53,38,44,19,14,2,3,29,14,24,19,7,3,9,24,24
4,5,Genoa,68,38,19,11,8,56,39,41,19,12,5,2,39,19,27,19,7,6,6,17,20
5,6,Roma,63,38,18,9,11,64,61,43,19,13,4,2,35,23,20,19,5,5,9,29,38
6,7,Udinese,58,38,16,10,12,61,50,38,19,11,5,3,36,18,20,19,5,5,9,25,32
7,8,Palermo,57,38,17,6,15,57,50,43,19,14,1,4,42,25,14,19,3,5,11,15,25
8,9,Cagliari,53,38,15,8,15,49,50,37,19,11,4,4,24,12,16,19,4,4,11,25,38
9,10,Lazio,50,38,15,5,18,46,55,28,19,8,4,7,23,24,22,19,7,1,11,23,31
10,11,Atalanta,47,38,13,8,17,45,48,33,19,10,3,6,28,17,14,19,3,5,11,17,31
11,12,Napoli,46,38,12,10,16,43,45,35,19,10,5,4,27,16,11,19,2,5,12,16,29
12,13,Sampdoria,46,38,11,13,14,49,52,32,19,8,8,3,33,21,14,19,3,5,11,16,31
13,14,Siena,44,38,12,8,18,33,44,32,19,9,5,5,18,18,12,19,3,3,13,15,26
14,15,Catania,43,38,12,7,19,41,51,34,19,11,1,7,24,22,9,19,1,6,12,17,29
15,16,Chievo Verona,38,38,8,14,16,35,49,17,19,3,8,8,15,23,21,19,5,6,8,20,26
16,17,Bologna,37,38,9,10,19,43,62,21,19,6,3,10,27,31,16,19,3,7,9,16,31
17,18,Torino,34,38,8,10,20,37,61,25,19,7,4,8,21,25,9,19,1,6,12,16,36
18,19,Reggina,31,38,6,13,19,30,62,18,19,3,9,7,23,27,13,19,3,4,12,7,35
19,20,Lecce,30,38,5,15,18,37,67,19,19,3,10,6,20,28,11,19,2,5,12,17,39
